TASK_ID,ONET_SOC_CODE,AI_EXPOSURE_SCORE,AUTOMATION_SCORE,AUGMENTATION_SCORE,CONFIDENCE,RATIONALE,REVIEW_STATUS,SCORING_RUN_ID,RUBRIC_VERSION,RUBRIC_HASH,PROMPT_VERSION,MODEL_ID,SCORED_AT,ERROR_MESSAGE
13026,27-1022.00,0.6,0.4,0.7,0.6,"Pricing is analytical data work AI can model, but final margin and brand judgment rest with the designer.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
3116,51-4041.00,0.4,0.2,0.5,0.6,Interpersonal conferring plus technical program verification; AI aids the check but the human collaboration and shop accountability remain.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
13956,51-2023.00,0.2,0.3,0.2,0.7,Physically operating and tending robotic assembly equipment on the floor; only thin digital monitoring edge for AI.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6697,25-2032.00,0.2,0.1,0.3,0.7,Sponsoring clubs and contests is in-person mentorship and supervision that AI cannot embody.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
23389,45-2092.00,0.5,0.5,0.6,0.6,"Inventory tracking and reordering is a digital clerical sub-step, but it is ancillary to a hands-on field labor role.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
415,29-1126.00,0.4,0.2,0.5,0.6,Hands-on patient testing caps exposure though AI meaningfully aids interpretation of the cardiopulmonary results.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14484,53-5011.00,0.2,0.1,0.1,0.8,Cleaning and polishing trim and metal is a pure manual shipboard act with no information component.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
14087,51-6041.00,0.2,0.2,0.2,0.7,Fabricating orthotic inserts from foot casts is a physical craft; only fitting specs offer a thin digital edge.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
8930,13-1041.06,0.4,0.3,0.5,0.5,"Gathering wills and documentation is procedural information handling AI can organize, but physical collection and legal custody stay human.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
16964,19-4099.01,0.7,0.5,0.8,0.7,Writing deviation reports and trend analyses is predominantly language and data work AI drafts well under analyst oversight.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
13993,51-3023.00,0.2,0.2,0.1,0.8,"Trimming, cleaning, and curing hides is a manual dexterity task with no meaningful digital component.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
6374,25-1125.00,0.4,0.2,0.5,0.6,Supervising student teaching and research is interpersonal academic mentorship; AI aids feedback but judgment and accountability remain.,unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
12734,53-2021.00,0.4,0.2,0.4,0.6,"Directing pilots is real-time safety-critical decision-making with human accountability, though it is information-driven.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
2551,43-3071.00,0.5,0.5,0.5,0.6,"Verifying deposits and slip accuracy is automatable, but the physical cash-and-check handling keeps a person in the loop.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
1105,11-9081.00,0.6,0.5,0.7,0.6,"Answering policy inquiries is highly AI-exposed, though resolving guest complaints needs human tact and authority.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
17765,47-2231.00,0.5,0.4,0.6,0.6,"Planning materials and install sequences is analytical work AI supports, but it is embedded in a hands-on rooftop install role.",unreviewed,calib_subagent_v2_b6a49483,v2,b6a49483,v1,claude-opus-4-8-subagent,,
