TASK_ID,ONET_SOC_CODE,MAJOR_GROUP,OCCUPATION_TITLE,TASK_TYPE,IMPORTANCE_RAW,TASK_STATEMENT,OCCUPATION_DESCRIPTION,ai_exposure_annot1,automation_annot1,augmentation_annot1
13026,27-1022.00,27,Fashion Designers,Supplemental,4.25,Determine prices for styles.,Design clothing and accessories. Create original designs or adapt fashion trends.,0.8,0.6,0.8
3116,51-4041.00,51,Machinists,Core,4.33,Confer with numerical control programmers to check and ensure that new programs or machinery will function properly and that output will meet specifications.,"Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",0.4,0.15,0.6
13956,51-2023.00,51,Electromechanical Equipment Assemblers,Supplemental,3.45,"Operate or tend automated assembling equipment, such as robotics and fixed automation equipment.","Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.",0.2,0.1,0.2
6697,25-2032.00,25,"Career/Technical Education Teachers, Secondary School",Core,3.63,"Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.","Teach occupational, vocational, career, or technical subjects to students at the secondary school level.",0.4,0.15,0.6
23389,45-2092.00,45,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Supplemental,3.43,"Maintain inventory, ordering materials as required.","Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.",0.55,0.3,0.6
415,29-1126.00,29,Respiratory Therapists,Core,4.2,"Conduct tests, such as electrocardiograms (EKGs), stress testing, or lung capacity tests, to evaluate patients' cardiopulmonary functions.","Assess, treat, and care for patients with breathing disorders. Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians. Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment.",0.8,0.55,0.85
14484,53-5011.00,53,Sailors and Marine Oilers,Supplemental,2.65,"Clean and polish wood trim, brass, or other metal parts.","Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen.",0.2,0.05,0.25
14087,51-6041.00,51,Shoe and Leather Workers and Repairers,Supplemental,4.84,"Prepare inserts, heel pads, and lifts from casts of customers' feet.","Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools.",0.8,0.6,0.8
8930,13-1041.06,13,Coroners,Core,3.47,"Collect wills, burial instructions, and other documentation needed for investigations and for handling of the remains.","Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",0.8,0.15,0.85
16964,19-4099.01,19,Quality Control Analysts,Core,4.1,"Write technical reports or documentation, such as deviation reports, testing protocols, and trend analyses.","Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.",0.8,0.6,0.85
